Boston Red Sox,"Sogard, NickNick Sogard",1B,11,11,282,88,87,83,4,1,9,n/a,n/a,n/a,.989
Boston Red Sox,"Stock, RobertRobert Stock",P,2,0,8,0,0,0,0,0,0,n/a,n/a,n/a,.000
Boston Red Sox,"Story, TrevorTrevor Story",SS,72,71,"1,900",284,279,100,179,5,46,n/a,n/a,n/a,.982
Boston Red Sox,"Toro, AbrahamAbraham Toro",3B,9,6,180,26,24,5,19,2,3,n/a,n/a,n/a,.923
Boston Red Sox,"Toro, AbrahamAbraham Toro",P,1,0,3,0,0,0,0,0,0,n/a,n/a,n/a,.000
Boston Red Sox,"Toro, AbrahamAbraham Toro",1B,29,22,608,180,179,168,11,1,18,n/a,n/a,n/a,.994
Boston Red Sox,"Weissert, GregGreg Weissert",P,37,0,103,6,6,4,2,0,0,n/a,n/a,n/a,1.000
Boston Red Sox,"Whitlock, GarrettGarrett Whitlock",P,28,0,115,1,1,1,0,0,0,n/a,n/a,n/a,1.000
Boston Red Sox,"Wilson, JustinJustin Wilson",P,31,0,78,1,1,0,1,0,0,n/a,n/a,n/a,1.000
Boston Red Sox,"Winckowski, JoshJosh Winckowski",P,6,0,35,1,0,0,0,1,0,n/a,n/a,n/a,.000
Boston Red Sox,"Wong, ConnorConnor Wong",C,25,20,522,161,159,150,9,2,1,0,14,5,.988
Boston Red Sox,"Wong, ConnorConnor Wong",1B,1,0,3,1,1,1,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Backhus, KyleKyle Backhus",P,5,0,15,0,0,0,0,0,0,n/a,n/a,n/a,.000
Arizona Diamondbacks,"Barrosa, JorgeJorge Barrosa",CF,3,3,75,10,10,10,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Barrosa, JorgeJorge Barrosa",LF,2,1,33,3,3,3,0,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Beeks, JalenJalen Beeks",P,35,0,106,10,10,2,8,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Brigham, JeffJeff Brigham",P,4,0,10,2,2,1,1,0,0,n/a,n/a,n/a,1.000
Arizona Diamondbacks,"Burnes, CorbinCorbin Burnes",P,11,11,193,12,11,7,4,1,0,n/a,n/a,n/a,.917
Arizona Diamondbacks,"Carroll, CorbinCorbin Carroll",RF,71,68,"1,836",152,151,145,6,1,2,n/a,n/a,n/a,.993
