Boston Red Sox,RosterScheduleHittingPitchingFieldingStatmaster
Boston Red Sox,Game,Date | Box,Opponent,Score,Decision,Record
Atlanta Braves,1,03-27-2025,at San Diego Padres,4-7,L,0-1
Atlanta Braves,2,03-28-2025,at San Diego Padres,3-4,L,0-2
Atlanta Braves,3,03-29-2025,at San Diego Padres,0-1,L,0-3
Atlanta Braves,4,03-30-2025,at San Diego Padres,0-5,L,0-4
Atlanta Braves,5,03-31-2025,at Los Angeles Dodgers,1-6,L,0-5
Atlanta Braves,6,04-01-2025,at Los Angeles Dodgers,1-3,L,0-6
Atlanta Braves,7,04-02-2025,at Los Angeles Dodgers,5-6,L,0-7
Atlanta Braves,8,04-04-2025,vs Miami Marlins,10-0,W,1-7
Atlanta Braves,9,04-05-2025,vs Miami Marlins,0-4,L,1-8
Atlanta Braves,10,04-08-2025,vs Philadelphia Phillies,7-5,W,2-8
Atlanta Braves,11,04-09-2025,vs Philadelphia Phillies,3-4,L,2-9
Atlanta Braves,12,04-10-2025,vs Philadelphia Phillies,4-2,W,3-9
Atlanta Braves,13,04-11-2025,at Tampa Bay Rays,3-6,L,3-10
Atlanta Braves,14,04-12-2025,at Tampa Bay Rays,5-4,W,4-10
Atlanta Braves,15,04-13-2025,at Tampa Bay Rays,3-8,L,4-11
Atlanta Braves,16,04-14-2025,at Toronto Blue Jays,8-4,W,5-11
Atlanta Braves,17,04-15-2025,at Toronto Blue Jays,3-6,L,5-12
Atlanta Braves,18,04-16-2025,at Toronto Blue Jays,1-3,L,5-13
Atlanta Braves,19,04-18-2025,vs Minnesota Twins,6-4,W,6-13
Atlanta Braves,20,04-19-2025,vs Minnesota Twins,4-3,W,7-13
Atlanta Braves,21,04-20-2025,vs Minnesota Twins,6-2,W,8-13
Atlanta Braves,22,04-21-2025,vs St. Louis Cardinals,7-6,W,9-13
Atlanta Braves,23,04-22-2025,vs St. Louis Cardinals,4-10,L,9-14
Atlanta Braves,24,04-23-2025,vs St. Louis Cardinals,4-1,W,10-14
Atlanta Braves,25,04-25-2025,at Arizona Diamondbacks,8-2,W,11-14
Atlanta Braves,26,04-26-2025,at Arizona Diamondbacks,8-7,W,12-14
Atlanta Braves,27,04-27-2025,at Arizona Diamondbacks,4-6,L,12-15
Atlanta Braves,28,04-28-2025,at Colorado Rockies,6-3,W,13-15
Atlanta Braves,29,04-29-2025,at Colorado Rockies,8-2,W,14-15
