statistic,player_name,team_name,no,top_25,year,league,stat_title,statistic_id,player_id,year_id,league_id
Triples,To Be Determined,--,,Top 25,2025,American League,Hitting Statistics,17,85,4,0
Base on Balls,Juan Soto,Washington Nationals,145.0,Top 25,2021,National League,Hitting Statistics,0,48,0,1
Batting Average,Trea Turner,Washington Nationals,0.328,Top 25,2021,National League,Hitting Statistics,1,86,0,1
Doubles,Bryce Harper,Philadelphia Phillies,42.0,Top 25,2021,National League,Hitting Statistics,3,12,0,1
Hits,Trea Turner,Washington Nationals,195.0,Top 25,2021,National League,Hitting Statistics,6,86,0,1
Home Runs,Fernando Tatis Jr.,San Diego Padres,42.0,Top 25,2021,National League,Hitting Statistics,7,28,0,1
On Base Percentage,Juan Soto,Washington Nationals,0.465,Top 25,2021,National League,Hitting Statistics,8,48,0,1
RBI,Adam Duvall,Miami Marlins,113.0,Top 25,2021,National League,Hitting Statistics,9,3,0,1
Runs,Freddie Freeman,Atlanta Braves,120.0,Top 25,2021,National League,Hitting Statistics,10,30,0,1
Slugging Average,Bryce Harper,Philadelphia Phillies,0.615,Top 25,2021,National League,Hitting Statistics,13,12,0,1
Stolen Bases,Trea Turner,Washington Nationals,32.0,Top 25,2021,National League,Hitting Statistics,14,86,0,1
Total Bases,Trea Turner,Washington Nationals,319.0,Top 25,2021,National League,Hitting Statistics,16,86,0,1
Triples,David Peralta,Arizona Diamondbacks,8.0,Top 25,2021,National League,Hitting Statistics,17,20,0,1
Base on Balls,Juan Soto,Washington Nationals,135.0,Top 25,2022,National League,Hitting Statistics,0,48,1,1
Batting Average,Jeff McNeil,New York Mets,0.326,Top 25,2022,National League,Hitting Statistics,1,37,1,1
Doubles,Freddie Freeman,Los Angeles Dodgers,44.0,Top 25,2022,National League,Hitting Statistics,3,31,1,1
Hits,Freddie Freeman,Los Angeles Dodgers,11.0,Top 25,2022,National League,Hitting Statistics,6,31,1,1
Home Runs,Kyle Schwarber,Philadelphia Phillies,46.0,Top 25,2022,National League,Hitting Statistics,7,56,1,1
